"Sample.ID","NCBI.accession","Sample.collection.date","Host.species","Region","Province","Municipality","Barangay","Location","source","corrected_date","decimal_date"
"RV/R4A.PHL/2005/Z-05-012","AB563801","2005","Canis lupus familiaris","R4A","Laguna",NA,NA,"R4A, Laguna","rabv-glue",2005-01-01,2005
"RV/R4A.PHL/2005/Z-05-017","AB563802","2005","Canis lupus familiaris","R4A","Cavite",NA,NA,"R4A, Cavite","rabv-glue",2005-01-01,2005
"RV/NCR.PHL/2005/Z-05-090","AB563803","2005","Canis lupus familiaris","NCR","Metro Manila",NA,NA,"NCR, Metro Manila","rabv-glue",2005-01-01,2005
"RV/R4A.PHL/2005/Z-05-123","AB563804","2005","Canis lupus familiaris","R4A","Laguna",NA,NA,"R4A, Laguna","rabv-glue",2005-01-01,2005
"RV/NCR.PHL/2005/Z-05-149","AB563805","2005","Canis lupus familiaris","NCR","Metro Manila",NA,NA,"NCR, Metro Manila","rabv-glue",2005-01-01,2005
"RV/NCR.PHL/2005/Z-05-168","AB563806","2005","Canis lupus familiaris","NCR","Metro Manila",NA,NA,"NCR, Metro Manila","rabv-glue",2005-01-01,2005
"RV/R11.PHL/2005/Z-05-186","AB563807","2005","Canis lupus familiaris","Region11","Davao del Sur",NA,NA,"Region11, Davao del Sur","rabv-glue",2005-01-01,2005
"RV/NCR.PHL/2005/Z-05-187","AB563808","2005","Canis lupus familiaris","NCR","Metro Manila",NA,NA,"NCR, Metro Manila","rabv-glue",2005-01-01,2005
"RV/R3.PHL/2005/Z-05-198","AB563809","2005","Canis lupus familiaris","Region3","Nueva Ecija",NA,NA,"Region3, Nueva Ecija","rabv-glue",2005-01-01,2005
"RV/NCR.PHL/2005/Z-05-285","AB563810","2005","Canis lupus familiaris","NCR","Metro Manila",NA,NA,"NCR, Metro Manila","rabv-glue",2005-01-01,2005
"RV/NCR.PHL/2005/Z-05-299","AB563811","2005","Canis lupus familiaris","NCR","Metro Manila",NA,NA,"NCR, Metro Manila","rabv-glue",2005-01-01,2005
"RV/NCR.PHL/2005/Z-05-373","AB563812","2005","Canis lupus familiaris","NCR","Metro Manila",NA,NA,"NCR, Metro Manila","rabv-glue",2005-01-01,2005
"RV/NCR.PHL/2005/Z-05-396","AB563813","2005","Canis lupus familiaris","NCR","Metro Manila",NA,NA,"NCR, Metro Manila","rabv-glue",2005-01-01,2005
"RV/NCR.PHL/2005/Z-05-424","AB563814","2005","Canis lupus familiaris","NCR","Metro Manila",NA,NA,"NCR, Metro Manila","rabv-glue",2005-01-01,2005
"RV/NCR.PHL/2005/Z-05-465","AB563815","2005","Canis lupus familiaris","NCR","Metro Manila",NA,NA,"NCR, Metro Manila","rabv-glue",2005-01-01,2005
"RV/NCR.PHL/2005/Z-05-466","AB563816","2005","Canis lupus familiaris","NCR","Metro Manila",NA,NA,"NCR, Metro Manila","rabv-glue",2005-01-01,2005
"RV/R3.PHL/2005/Z-05-507","AB563817","2005","Canis lupus familiaris","Region3","Bulacan",NA,NA,"Region3, Bulacan","rabv-glue",2005-01-01,2005
"RV/R4A.PHL/2006/Z-06-039","AB563818","2006","Canis lupus familiaris","R4A","Batangas",NA,NA,"R4A, Batangas","rabv-glue",2006-01-01,2006
"RV/R4A.PHL/2006/Z-06-163","AB563819","2006","Canis lupus familiaris","Region4A","Laguna",NA,NA,"Region4A, Laguna","rabv-glue",2006-01-01,2006
"RV/R4A.PHL/2006/Z-06-197","AB563820","2006","Canis lupus familiaris","Region4A","Batangas",NA,NA,"Region4A, Batangas","rabv-glue",2006-01-01,2006
"RV/R4B.PHL/2006/Z-06-203","AB563821","2006","Canis lupus familiaris","Region4B","Oriental Mindoro",NA,NA,"Region4B, Oriental Mindoro","rabv-glue",2006-01-01,2006
"RV/R4A.PHL/2006/Z-06-222","AB563822","2006","Canis lupus familiaris","Region4A","Cavite",NA,NA,"Region4A, Cavite","rabv-glue",2006-01-01,2006
"RV/R4A.PHL/2006/Z-06-231","AB563823","2006","Canis lupus familiaris","Region4A","Cavite",NA,NA,"Region4A, Cavite","rabv-glue",2006-01-01,2006
"RV/R4A.PHL/2006/Z-06-342","AB563824","2006","Canis lupus familiaris","Region4A","Laguna",NA,NA,"Region4A, Laguna","rabv-glue",2006-01-01,2006
"RV/R4A.PHL/2006/Z-06-345","AB563825","2006","Canis lupus familiaris","R4A","Batangas",NA,NA,"R4A, Batangas","rabv-glue",2006-01-01,2006
"RV/R4A.PHL/2006/Z-06-348","AB563826","2006","Canis lupus familiaris","Region4A","Cavite",NA,NA,"Region4A, Cavite","rabv-glue",2006-01-01,2006
"RV/R4A.PHL/2006/Z-06-357","AB563827","2006","Canis lupus familiaris","Region4A","Batangas",NA,NA,"Region4A, Batangas","rabv-glue",2006-01-01,2006
"RV/R4A.PHL/2006/Z-06-361","AB563828","2006","Canis lupus familiaris","Region4A","Laguna",NA,NA,"Region4A, Laguna","rabv-glue",2006-01-01,2006
"RV/R4A.PHL/2006/Z-06-362","AB563829","2006","Canis lupus familiaris","Region4A","Batangas",NA,NA,"Region4A, Batangas","rabv-glue",2006-01-01,2006
"RV/R4A.PHL/2006/Z-06-365","AB563830","2006","Canis lupus familiaris","Region4A","Cavite",NA,NA,"Region4A, Cavite","rabv-glue",2006-01-01,2006
"RV/R4B.PHL/2006/Z-06-408","AB563831","2006","Canis lupus familiaris","R4B","Oriental Mindoro",NA,NA,"R4B, Oriental Mindoro","rabv-glue",2006-01-01,2006
"RV/R4A.PHL/2007/Z-07-189","AB563832","2007","Canis lupus familiaris","Region4A","Cavite",NA,NA,"Region4A, Cavite","rabv-glue",2007-01-01,2007
"RV/R4A.PHL/2007/Z-07-243","AB563833","2007","Canis lupus familiaris","Region4A","Cavite",NA,NA,"Region4A, Cavite","rabv-glue",2007-01-01,2007
"RV/R4A.PHL/2007/Z-07-252","AB563834","2007","Canis lupus familiaris","R4A","Quezon",NA,NA,"R4A, Quezon","rabv-glue",2007-01-01,2007
"RV/R4A.PHL/2007/Z-07-307","AB563835","2007","Canis lupus familiaris","R4A","Cavite",NA,NA,"R4A, Cavite","rabv-glue",2007-01-01,2007
"RV/R4A.PHL/2007/Z-07-317","AB563836","2007","Canis lupus familiaris","Region4A","Cavite",NA,NA,"Region4A, Cavite","rabv-glue",2007-01-01,2007
"RV/R4A.PHL/2007/Z-07-330","AB563837","2007","Canis lupus familiaris","Region4A","Cavite",NA,NA,"Region4A, Cavite","rabv-glue",2007-01-01,2007
"RV/R3.PHL/2008/TRa-002","AB563838","2008","Canis lupus familiaris","Region3","Pampanga",NA,NA,"Region3, Pampanga","rabv-glue",2008-01-01,2008
"RV/R5.PHL/2008/TRa-005","AB563839","2008","Canis lupus familiaris","Region5","Albay",NA,NA,"Region5, Albay","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-006","AB563840","2008","Canis lupus familiaris","Region3","Pampanga",NA,NA,"Region3, Pampanga","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-009","AB563841","2008","Canis lupus familiaris","Region3","Nueva Ecija",NA,NA,"Region3, Nueva Ecija","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-010","AB563842","2008","Canis lupus familiaris","Region3","Pampanga",NA,NA,"Region3, Pampanga","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-011","AB563843","2008","Canis lupus familiaris","Region3","Zambales",NA,NA,"Region3, Zambales","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-013","AB563844","2008","Canis lupus familiaris","Region3","Tarlac",NA,NA,"Region3, Tarlac","rabv-glue",2008-01-01,2008
"RV/R10.PHL/2008/TRa-014","AB563845","2008","Canis lupus familiaris","Region10","Misamis Oriental",NA,NA,"Region10, Misamis Oriental","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-016","AB563846","2008","Canis lupus familiaris","Region3","Zambales",NA,NA,"Region3, Zambales","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-018","AB563847","2008","Canis lupus familiaris","Region3","Zambales",NA,NA,"Region3, Zambales","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-019","AB563848","2008","Canis lupus familiaris","Region3","Pampanga",NA,NA,"Region3, Pampanga","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-020","AB563849","2008","Canis lupus familiaris","Region3","Pampanga",NA,NA,"Region3, Pampanga","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-021","AB563850","2008","Canis lupus familiaris","Region3","Nueva Ecija",NA,NA,"Region3, Nueva Ecija","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-022","AB563851","2008","Canis lupus familiaris","Region3","Pampanga",NA,NA,"Region3, Pampanga","rabv-glue",2008-01-01,2008
"RV/R10.PHL/2008/TRa-024","AB563852","2008","Canis lupus familiaris","Region10","Misamis Oriental",NA,NA,"Region10, Misamis Oriental","rabv-glue",2008-01-01,2008
"RV/R10.PHL/2008/TRa-025","AB563853","2008","Canis lupus familiaris","Region10","Misamis Oriental",NA,NA,"Region10, Misamis Oriental","rabv-glue",2008-01-01,2008
"RV/R10.PHL/2008/TRa-026","AB563854","2008","Canis lupus familiaris","Region10","Misamis Oriental",NA,NA,"Region10, Misamis Oriental","rabv-glue",2008-01-01,2008
"RV/R10.PHL/2008/TRa-027","AB563855","2008","Canis lupus familiaris","Region10","Misamis Oriental",NA,NA,"Region10, Misamis Oriental","rabv-glue",2008-01-01,2008
"RV/R10.PHL/2008/TRa-028","AB563856","2008","Canis lupus familiaris","Region10","Misamis Oriental",NA,NA,"Region10, Misamis Oriental","rabv-glue",2008-01-01,2008
"RV/R10.PHL/2008/TRa-030","AB563857","2008","Canis lupus familiaris","Region10","Misamis Oriental",NA,NA,"Region10, Misamis Oriental","rabv-glue",2008-01-01,2008
"RV/R5.PHL/2008/TRa-031","AB563858","2008","Canis lupus familiaris","Region5","Albay",NA,NA,"Region5, Albay","rabv-glue",2008-01-01,2008
"RV/R5.PHL/2008/TRa-032","AB563859","2008","Canis lupus familiaris","Region5","Albay",NA,NA,"Region5, Albay","rabv-glue",2008-01-01,2008
"RV/R5.PHL/2008/TRa-034","AB563860","2008","Canis lupus familiaris","Region5","Albay",NA,NA,"Region5, Albay","rabv-glue",2008-01-01,2008
"RV/R5.PHL/2008/TRa-036","AB563861","2008","Canis lupus familiaris","Region5","Camarines Sur",NA,NA,"Region5, Camarines Sur","rabv-glue",2008-01-01,2008
"RV/R5.PHL/2008/TRa-037","AB563862","2008","Canis lupus familiaris","Region5","Camarines Sur",NA,NA,"Region5, Camarines Sur","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-038","AB563863","2008","Canis lupus familiaris","Region3","Pampanga",NA,NA,"Region3, Pampanga","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-040","AB563864","2008","Canis lupus familiaris","Region3","Zambales",NA,NA,"Region3, Zambales","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-041","AB563865","2008","Canis lupus familiaris","Region3","Tarlac",NA,NA,"Region3, Tarlac","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-045","AB563866","2008","Canis lupus familiaris","Region 3","Pampanga",NA,NA,"Region 3, Pampanga","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-047","AB563867","2008","Canis lupus familiaris","Region3","Zambales",NA,NA,"Region3, Zambales","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-048","AB563868","2008","Canis lupus familiaris","Region3","Zambales",NA,NA,"Region3, Zambales","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-049","AB563869","2008","Canis lupus familiaris","Region3","Pampanga",NA,NA,"Region3, Pampanga","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-051","AB563870","2008","Canis lupus familiaris","Region3","Pampanga",NA,NA,"Region3, Pampanga","rabv-glue",2008-01-01,2008
"RV/R10.PHL/2008/TRa-052","AB563871","2008","Canis lupus familiaris","Region10","Misamis Oriental",NA,NA,"Region10, Misamis Oriental","rabv-glue",2008-01-01,2008
"RV/R10.PHL/2008/TRa-053","AB563872","2008","Canis lupus familiaris","Region10","Misamis Oriental",NA,NA,"Region10, Misamis Oriental","rabv-glue",2008-01-01,2008
"RV/R10.PHL/2008/TRa-054","AB563873","2008","Canis lupus familiaris","Region10","Lanao del Norte",NA,NA,"Region10, Lanao del Norte","rabv-glue",2008-01-01,2008
"RV/R10.PHL/2008/TRa-055","AB563874","2008","Canis lupus familiaris","Region10","Misamis Oriental",NA,NA,"Region10, Misamis Oriental","rabv-glue",2008-01-01,2008
"RV/R10.PHL/2008/TRa-056","AB563875","2008","Canis lupus familiaris","Region10","Misamis Oriental",NA,NA,"Region10, Misamis Oriental","rabv-glue",2008-01-01,2008
"RV/R10.PHL/2008/TRa-057","AB563876","2008","Canis lupus familiaris","Region10","Misamis Oriental",NA,NA,"Region10, Misamis Oriental","rabv-glue",2008-01-01,2008
"RV/R10.PHL/2008/TRa-058","AB563877","2008","Canis lupus familiaris","Region 10","Misamis Oriental",NA,NA,"Region 10, Misamis Oriental","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-059","AB563878","2008","Canis lupus familiaris","Region3","Pampanga",NA,NA,"Region3, Pampanga","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-060","AB563879","2008","Canis lupus familiaris","Region3","Pampanga",NA,NA,"Region3, Pampanga","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-061","AB563880","2008","Canis lupus familiaris","Region3","Pampanga",NA,NA,"Region3, Pampanga","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-062","AB563881","2008","Canis lupus familiaris","Region3","Nueva Ecija",NA,NA,"Region3, Nueva Ecija","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-063","AB563882","2008","Canis lupus familiaris","Region3","Nueva Ecija",NA,NA,"Region3, Nueva Ecija","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-064","AB563883","2008","Canis lupus familiaris","Region3","Pampanga",NA,NA,"Region3, Pampanga","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-065","AB563884","2008","Canis lupus familiaris","Region3","Nueva Ecija",NA,NA,"Region3, Nueva Ecija","rabv-glue",2008-01-01,2008
"RV/R3.PHL/2008/TRa-066","AB563885","2008","Canis lupus familiaris","Region3","Pampanga",NA,NA,"Region3, Pampanga","rabv-glue",2008-01-01,2008
"RV/R5.PHL/2008/TRa-067","AB563886","2008","Canis lupus familiaris","Region5","Albay",NA,NA,"Region5, Albay","rabv-glue",2008-01-01,2008
"RV/R5.PHL/2008/TRa-071","AB563887","2008","Canis lupus familiaris","Region5","Camarines Sur",NA,NA,"Region5, Camarines Sur","rabv-glue",2008-01-01,2008
"RV/R5.PHL/2008/TRa-072","AB563888","2008","Canis lupus familiaris","Region5","Albay",NA,NA,"Region5, Albay","rabv-glue",2008-01-01,2008
