state	colour
Bangsamoro	#cc8c66
Bicol Region	#99cca5
Cagayan Valley	#4633cc
Calabarzon	#cc6666
Central Luzon	#cca533
Central Visayas	#66cca5
Cordillera Administrative Region	#b299cc
Davao Region	#c5cc99
Ilocos Region	#33cccc
Ilocos Region 	#bf66cc
National Capital Region	#99cc66
Northern Mindanao	#99b8cc
Southwestern Tagalog Region	#cc33a5
Southwestern Tagalog Region 	#46cc33
Western Visayas	#667fcc
Zamboanga Peninsula	#cc99ac
