state	colour
Bicol Region	#a6cee3
Cagayan Valley	#1f78b4
Calabarzon	#b2df8a
Central Luzon	#33a02c
Central Visayas	#fb9a99
Cordillera Administrative Region	#e31a1c
Davao Region	#fdbf6f
Ilocos Region	#ff7f00
National Capital Region	#cab2d6
Northern Mindanao	#6a3d9a
Southwestern Tagalog Region	#ffff99
