node	Bicol Region	Cagayan Valley	Calabarzon	Central Luzon	Central Visayas	Cordillera Administrative Region	Davao Region	Ilocos Region	National Capital Region	Northern Mindanao	Southwestern Tagalog Region
root	0.02505082034960033	0.028037600603823945	0.17735583953453515	0.2857854537726929	0.0800907947749049	0.06089546957234059	0.06233551218173119	0.09256022577883782	0.08099225343354209	0.03206881975922674	0.07482721023876432
n0	0.019897522223734844	0.02420098655653553	0.3266767138526958	0.2766176525665247	0.018517005211520103	0.05924254420554465	0.024973958312998115	0.06665013020476948	0.07890043567304919	0.02101427149095896	0.0833087797016686
n33	0.02524806287305606	0.027802193547680955	0.17068120810586881	0.2763138668964632	0.09137447534371247	0.05880625544660124	0.06862276560203265	0.09491165827772537	0.078188371858859	0.03337428435718096	0.07467685769081926
n00	0.02365816748986992	0.028961130038840304	0.22283174592840263	0.33368169255797286	0.01766970567726185	0.07148758783669089	0.027328792802325787	0.07858492516203983	0.09521702577772	0.02455631692828523	0.07602290980059073
n22	0.003005859775907378	0.0036782938932491548	0.796180929195386	0.04236141461124887	0.0022760014192278293	0.009075294380503163	0.0034890931618824462	0.00998923392867085	0.012087669355260953	0.0031230369886495455	0.11473317329001377
n4	0.01946163882680822	0.02287204176310794	0.144616498301847	0.25003209016607814	0.23870640235881063	0.05344675575042725	0.03457695072157977	0.06803145313392556	0.07114548241648555	0.022397757823514605	0.07471292873741545
n17	0.027777529821245008	0.029170960579335388	0.16512448356305798	0.2675953386749681	0.06139038089355059	0.0567209104003994	0.09349804309203281	0.10945931218904474	0.07533409293790126	0.03998776045076415	0.0739411873977005
n1	0.024046766178038293	0.029453009857810297	0.21210113576645528	0.33957828995362527	0.017582151690060926	0.07275290470517562	0.027572124871331816	0.07981818311000903	0.09690306768312223	0.024922327044360978	0.07527003914001011
V1375PHIL	0.024129517077566297	0.02955775415756923	0.20981608522351425	0.3408339522950104	0.017563507336853527	0.0730223500539198	0.02762394168957474	0.08008080160989516	0.09726210513888811	0.02500026777669945	0.07510971764050915
94275PHI	0.007183591018064984	0.008800896196816068	0.680227947512975	0.10150211177387199	0.0051992513019877866	0.02174659227861311	0.008207823026480134	0.023836325750289294	0.028965425569615857	0.007439898702891681	0.1068901368683942
n3	1.3699259696252423e-05	1.6785512421459796e-05	0.9994230279103038	0.0001936185146665571	9.867963726991185e-06	4.148257171528787e-05	1.562685424261914e-05	4.5449199421205486e-05	5.525289999853445e-05	1.418338662706572e-05	0.00017100592718011587
