"Sample.ID","NCBI.accession","Sample.collection.date","Host.species","Region","Province","Municipality","Barangay","Location","source","corrected_date","decimal_date","outbreak"
"18-138","OQ326748","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-142","OQ326784","2018","Canine","Davao Region",NA,"Nabunturan",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-144","OQ326776","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-147","OQ326772","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-151","OQ326774","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-153","OQ326773","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-162","OQ326744","2018","Canine","Davao Region",NA,"Samal",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-163","OQ326747","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-164","OQ326738","2018","Canine","Davao Region",NA,"Digos",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-172","OQ326737","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-174","OQ326743","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-179","OQ326775","2018","Canine","Davao Region",NA,"Cotabato",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-181","OQ326783","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-183","OQ326777","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-188","OQ326746","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-191","OQ326768","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-194","OQ326780","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-196","OQ326779","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-199","OQ326736","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-209","OQ326781","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-214","OQ326745","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-216","OQ326742","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-221","OQ326782","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-223","OQ326778","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-224","OQ326769","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-225","OQ326771","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"19-004","OQ326740","2019","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2019-01-01",2019,"Other"
"19-011","OQ326741","2019","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2019-01-01",2019,"Other"
"19-015","OQ326739","2019","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2019-01-01",2019,"Other"
"19-022","OQ326770","2019","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2019-01-01",2019,"Other"
"19-045","OQ326763","2019","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2019-01-01",2019,"Other"
"19-050","OQ326765","2019","Canine","Davao Region",NA,"Panabo",NA,NA,"genbank","2019-01-01",2019,"Other"
"4A-22-203",NA,"11-Feb-22","Canis familiaris","Calabarzon","Quezon",NA,"Guiang-Guiang","Lucena","this paper","2022-02-11",2022.11232876712,"Other"
"4B-22-37",NA,"1-Oct-22","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"San Isidro","Alcantara","this paper","2022-10-01",2022.74794520548,"Romblon_new"
"4B-22-39",NA,"21-Oct-22","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"San Isidro","Alcantara","this paper","2022-10-21",2022.80273972603,"Romblon_new"
"4B-22-41",NA,"24-Nov-22","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Dapawan","Odiongan","this paper","2022-11-24",2022.89589041096,"Romblon_new"
"4B-22-42",NA,"26-Nov-22","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Bonlao","Alcantara","this paper","2022-11-26",2022.90136986301,"Romblon_new"
"4B-22-44",NA,"11-Dec-22","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Dapawan","Odiongan","this paper","2022-12-11",2022.94246575342,"Romblon_new"
"4B-22-45",NA,"12-Dec-22","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Concepcion Sur","Santa Maria","this paper","2022-12-12",2022.94520547945,"Romblon_new"
"4B-23-01",NA,"20-Jan-23","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Concepcion Norte","Santa Maria","this paper","2023-01-20",2023.05205479452,"Romblon_new"
"4B-23-02",NA,"13-Jan-23","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Dapawan","Odiongan","this paper","2023-01-13",2023.03287671233,"Romblon_new"
"4B-23-03",NA,"22-Jan-23","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Sugod","San Agustin","this paper","2023-01-22",2023.05753424658,"Romblon_new"
"4B-23-04",NA,"31-Jan-23","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Carmen","San Agustin","this paper","2023-01-31",2023.08219178082,"Romblon_new"
"4B-23-05",NA,"20-Jan-23","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Sugod","San Agustin","this paper","2023-01-20",2023.05205479452,"Romblon_new"
"4B-23-06",NA,"2-Feb-23","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Concepcion Norte","Santa Maria","this paper","2023-02-02",2023.08767123288,"Romblon_new"
"4B-23-07",NA,"7-Feb-23","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Concepcion Sur","Santa Maria","this paper","2023-02-07",2023.10136986301,"Romblon_new"
"4B-23-11",NA,"7-Feb-23","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Jun Carlo","San Andres","this paper","2023-02-07",2023.10136986301,"Romblon_new"
"4B-23-12",NA,"14-Feb-23","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Concepcion Norte","Santa Maria","this paper","2023-02-14",2023.12054794521,"Romblon_new"
"4B-23-13",NA,"9-Feb-23","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Rizal","Odiongan","this paper","2023-02-09",2023.10684931507,"Romblon_new"
"4B-23-15",NA,"16-Feb-23","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Poctoy","Odiongan","this paper","2023-02-16",2023.12602739726,"Romblon_new"
"4B-23-16",NA,"28-Feb-23","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Dapawan","Odiongan","this paper","2023-02-28",2023.15890410959,"Romblon_new"
"4B-23-17",NA,"1-Mar-23","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Poctoy","Odiongan","this paper","2023-03-01",2023.16164383562,"Romblon_new"
"4B-23-19",NA,"1-Mar-23","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Mahabang Baybay","San Agustin","this paper","2023-03-01",2023.16164383562,"Romblon_new"
"94272PHI","KX148259","1994","Canis familiaris",NA,NA,NA,NA,"-","rabv-glue","1994-01-01",1994,"Other"
"94275PHI","KX148263","1994","Canis familiaris",NA,NA,NA,NA,"-","rabv-glue","1994-01-01",1994,"Other"
"94278PHI","KX148262","1994","Canis familiaris",NA,NA,NA,NA,"-","rabv-glue","1994-01-01",1994,"Other"
"94281PHI","KX148261","1994","Canis familiaris",NA,NA,NA,NA,"-","rabv-glue","1994-01-01",1994,"Other"
"BAI/BAI3/2019-01/fel","MN857171","2019","feline","National Capital Region","Bulacan",NA,NA,"San Miguel, Bulacan","rabv-glue","2019-01-01",2019,"Other"
"BAI/BAI4A/2019-01/can","MN857170","2019","Canis familiaris","Calabarzon","Rizal",NA,NA,"Angono, Rizal","rabv-glue","2019-01-01",2019,"Other"
"BAI/BAINCR/2019-01/can","MN857167","2019","Canis familiaris","National Capital Region",NA,NA,NA,"Caloocan City","rabv-glue","2019-01-01",2019,"Other"
"BAI/BAINCR/2019-02/can","MN857168","2019","Canis familiaris","National Capital Region",NA,NA,NA,"Quezon City","rabv-glue","2019-01-01",2019,"Other"
"BAI/BAINCR/2019-03/can","MN857169","2019","Canis familiaris","National Capital Region",NA,NA,NA,"Pasay City","rabv-glue","2019-01-01",2019,"Other"
"RADDL1-16-154","MN726857","2016","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2016-01-01",2016,"Other"
"RADDL3-1038","MN726850","2015","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2015-01-01",2015,"Other"
"RADDL3-1045","MN726863","2015","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2015-01-01",2015,"Other"
"RADDL3-15-172","MN726859","2015","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2015-01-01",2015,"Other"
"RADDL3-845","MN726864","2016","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2016-01-01",2016,"Other"
"RADDL5-005","MN726877","2015","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2015-01-01",2015,"Other"
"REGION_5_2018-100","MN726860","2018","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2018-01-01",2018,"Other"
"REGION_5_2018-304","MN726876","2018","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2018-01-01",2018,"Other"
"REGION_5_2018-311","MN726875","2018","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2018-01-01",2018,"Other"
"REGION_5_2018-50","MN726852","2018","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2018-01-01",2018,"Other"
"REGION_5_2019-1","MN726880","2019","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2019-01-01",2019,"Other"
"REGION_5_2019-13","MN726842","2019","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2019-01-01",2019,"Other"
"Z-12-001","MN726845","2012","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2012-01-01",2012,"Other"
"Z-12-088","MN726843","2012","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2012-01-01",2012,"Other"
"Z-12-118","MN726856","2012","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2012-01-01",2012,"Other"
"Z-12-134","MN726874","2012","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2012-01-01",2012,"Other"
"Z-12-149","MN726853","2012","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2012-01-01",2012,"Other"
"Z-12-212","MN726879","2012","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2012-01-01",2012,"Other"
"Z-13-002","MN726836","2013","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2013-01-01",2013,"Other"
"Z-13-009","MN726837","2013","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2013-01-01",2013,"Other"
"Z-13-032","MN726862","2013","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2013-01-01",2013,"Other"
"Z-13-071","MN726871","2013","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2013-01-01",2013,"Other"
"Z-13-094","MN726838","2013","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2013-01-01",2013,"Other"
"Z-13-096","MN726869","2013","Felis catus",NA,NA,NA,NA,"-","rabv-glue","2013-01-01",2013,"Other"
"Z-14-033","MN726844","2014","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2014-01-01",2014,"Other"
"Z-14-098",NA,"29-Apr-14","Canis familiaris","Calabarzon","Batangas",NA,"Dita","Cuenca","this paper","2014-04-29",2014.32328767123,"Other"
"Z-14-136","MN726865","2014","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2014-01-01",2014,"Other"
"Z-14-138","MN726866","2014","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2014-01-01",2014,"Other"
"Z-14-146","MN726841","2014","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2014-01-01",2014,"Other"
"Z-14-149","MN726870","2014","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2014-01-01",2014,"Other"
"Z-15-001","MN726846","2015","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2015-01-01",2015,"Other"
"Z-15-019","MN726861","2015","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2015-01-01",2015,"Other"
"Z-15-116","MN726839","2015","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2015-01-01",2015,"Other"
"Z-15-130","MN726881","2015","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2015-01-01",2015,"Other"
"Z-15-148","MN726840","2015","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2015-01-01",2015,"Other"
"Z-16-013","MN726848","2016","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2016-01-01",2016,"Other"
"Z-16-082","MN726868","24-May-16","Canis familiaris","Calabarzon","Laguna",NA,"Caingin","Sta. Rosa","this paper","2016-05-24",2016.39344262295,"Other"
"Z-16-159","MN726855","2016","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2016-01-01",2016,"Other"
"Z-16-186","MN726858","2016","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2016-01-01",2016,"Other"
"Z-16-210","MN726847","2017","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2017-01-01",2017,"Other"
"Z-16-211","MN726882","2019","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2019-01-01",2019,"Other"
"Z-17-046",NA,"6-Mar-17","Canis familiaris","Calabarzon","Batangas",NA,"Bgy. San Fernando","Sto. Tomas","this paper","2017-03-06",2017.17534246575,"Other"
"Z-18-224",NA,"28-Oct-18","Canis familiaris","National Capital Region","Metropolitan Manila",NA,"Camarin Rd.","Caloocan","this paper","2018-10-28",2018.82191780822,"Other"
"Z-22-103",NA,"21-Nov-22","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Paroyhog","Santa Maria","this paper","2022-11-21",2022.88767123288,"Romblon_new"
"Z-22-119",NA,"28-Dec-22","Canis familiaris",NA,"Romblon",NA,"Tulay","Odiongan","this paper","2022-12-28",2022.98904109589,"Romblon_new"
"Z-22-121",NA,"19-Dec-22","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Carmen","San Agustin","this paper","2022-12-19",2022.96438356164,"Romblon_new"
"Z12-012","MN726867","2012","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2012-01-01",2012,"Other"
"Z14-142","MN726851","2014","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2014-01-01",2014,"Other"
"Z14-152","MN726873","2014","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2014-01-01",2014,"Other"
"Z15-185","MN726854","2015","Canis lupus familiaris",NA,NA,NA,NA,"-","rabv-glue","2015-01-01",2015,"Other"
