"Longitude","Latitude","Loc_ID","Type"
120.805535984095,17.579237524665,"Abra","Province"
125.522899506243,9.01450683398298,"Agusan del Norte","Province"
125.75730046456,8.40341979878782,"Agusan del Sur","Province"
122.24865427499,11.6070431091084,"Aklan","Province"
123.573274471924,13.2052113701031,"Albay","Province"
122.101734633238,11.0831563984294,"Antique","Province"
121.196964866495,18.0923126498812,"Apayao","Province"
121.704632459699,15.9269013880373,"Aurora","Province"
122.041754990719,6.57930840420578,"Basilan","Province"
120.448706731631,14.6658171554843,"Bataan","Province"
121.835796906101,20.7598916011073,"Batanes","Province"
121.031475247737,13.9044300676763,"Batangas","Province"
120.704193532826,16.5391663995819,"Benguet","Province"
124.483899366911,11.5855957787599,"Biliran","Province"
124.203516761757,9.8539372913066,"Bohol","Province"
124.998487236814,8.0200628028049,"Bukidnon","Province"
121.065179867371,14.970806493813,"Bulacan","Province"
121.773968414624,18.0192768164367,"Cagayan","Province"
122.724159259336,14.140206289722,"Camarines Norte","Province"
123.256673934806,13.7011464904731,"Camarines Sur","Province"
124.717722561791,9.17186729672334,"Camiguin","Province"
122.635879737128,11.3680638525261,"Capiz","Province"
124.236439413664,13.7814285669926,"Catanduanes","Province"
120.872307325476,14.2533886992337,"Cavite","Province"
123.717320963174,10.312981690744,"Cebu","Province"
126.01764044014,7.57737857736721,"Compostela Valley","Province"
125.628673811703,7.62883102302975,"Davao del Norte","Province"
125.418689941784,6.7162888899736,"Davao del Sur","Province"
126.297268571386,7.25704131043925,"Davao Oriental","Province"
125.604902383883,10.1686251612193,"Dinagat Islands","Province"
125.36661440675,11.686672712573,"Eastern Samar","Province"
122.61224250559,10.5729467877322,"Guimaras","Province"
121.214348947977,16.8519828169781,"Ifugao","Province"
120.730835514767,18.1997930070938,"Ilocos Norte","Province"
120.551818593881,17.2208427352836,"Ilocos Sur","Province"
122.588886341065,10.9965490412592,"Iloilo","Province"
121.960880299036,16.984196959844,"Isabela","Province"
121.291125109063,17.4339214142063,"Kalinga","Province"
120.427763442464,16.5810536479059,"La Union","Province"
121.324215385975,14.2839724336807,"Laguna","Province"
124.044543460543,8.02152550761048,"Lanao del Norte","Province"
124.334028253464,7.80911451278863,"Lanao del Sur","Province"
124.75369144925,10.976753144462,"Leyte","Province"
124.508785384815,6.87332768101866,"Maguindanao","Province"
121.969235836021,13.3897920519134,"Marinduque","Province"
123.597627468456,12.1805349405491,"Masbate","Province"
121.032642050669,14.5988700055814,"Metropolitan Manila","Province"
123.688788313835,8.32492241060031,"Misamis Occidental","Province"
124.81152433566,8.64640205224601,"Misamis Oriental","Province"
121.132380004863,17.1004779807715,"Mountain Province","Province"
122.984131341617,10.3010376950823,"Negros Occidental","Province"
123.038772171683,9.60158677675075,"Negros Oriental","Province"
124.851950384792,7.21472129353191,"North Cotabato","Province"
124.810831019601,12.4064314192314,"Northern Samar","Province"
121.022579648875,15.6175107771358,"Nueva Ecija","Province"
121.151179191717,16.3117937846856,"Nueva Vizcaya","Province"
120.917462104361,12.9516686570877,"Occidental Mindoro","Province"
121.263072079057,12.9634760391064,"Oriental Mindoro","Province"
118.559401430365,9.73205025229572,"Palawan","Province"
120.665144038373,15.0571281145737,"Pampanga","Province"
120.318442283612,15.9941502286807,"Pangasinan","Province"
121.962831137683,14.0864785007025,"Quezon","Province"
121.588810341812,16.2921534288419,"Quirino","Province"
121.270814855876,14.6342828308708,"Rizal","Province"
122.039666499447,12.4074156811856,"Romblon","Province"
124.956158679529,11.8467695128767,"Samar","Province"
125.347989850822,6.02885606003921,"Sarangani","Province"
124.243783340104,7.1746955944912,"Shariff Kabunsuan","Province"
123.588415937392,9.18507655446787,"Siquijor","Province"
123.928980434197,12.8546411950946,"Sorsogon","Province"
124.846006120152,6.28254582299116,"South Cotabato","Province"
125.05219719332,10.2939048158383,"Southern Leyte","Province"
124.474244804286,6.54599699369358,"Sultan Kudarat","Province"
121.129132191267,5.97591115802858,"Sulu","Province"
125.601677455735,9.56668656280903,"Surigao del Norte","Province"
126.104078051312,8.82102246126039,"Surigao del Sur","Province"
120.478725145151,15.4788141496681,"Tarlac","Province"
120.053720352425,5.19448746412188,"Tawi-Tawi","Province"
120.144773362498,15.2875638854364,"Zambales","Province"
122.812862062132,8.05179365055094,"Zamboanga del Norte","Province"
123.316558762387,7.87388767637075,"Zamboanga del Sur","Province"
122.701396495225,7.70219330184641,"Zamboanga Sibugay","Province"
120.607181384289,17.6005240416265,"Abra-Bangued","Municipality"
120.868216869001,17.3796618394214,"Abra-Boliney","Municipality"
120.722525682307,17.522847284813,"Abra-Bucay","Municipality"
120.847610363507,17.4376792985111,"Abra-Bucloc","Municipality"
120.951654639757,17.4510240990762,"Abra-Daguioman","Municipality"
120.621949406684,17.7443367751301,"Abra-Danglas","Municipality"
120.726213115262,17.64898713041,"Abra-Dolores","Municipality"
120.654607592267,17.6623613513995,"Abra-La Paz","Municipality"
120.980743087178,17.6973212021889,"Abra-Lacub","Municipality"
120.780626804696,17.632825477636,"Abra-Lagangilang","Municipality"
120.723244068848,17.7806973653166,"Abra-Lagayan","Municipality"
120.535443024632,17.6144349588148,"Abra-Langiden","Municipality"
120.880544539398,17.5684171048623,"Abra-Licuan-Baay","Municipality"
120.690853247205,17.3254117509394,"Abra-Luba","Municipality"
121.02766914946,17.5871037001431,"Abra-Malibcong","Municipality"
120.717609564875,17.4114623227821,"Abra-Manabo","Municipality"
120.66623721826,17.5380927739119,"Abra-Peñarrubia","Municipality"
120.573926791796,17.537768618149,"Abra-Pidigan","Municipality"
