"Longitude","Latitude","Loc_ID","Type"
122.115980546005,11.4210071157228,"Antique-Culasi","Municipality"
122.009446608911,10.6624746236109,"Antique-Hamtic","Municipality"
122.109079280863,11.1571727904752,"Antique-Laua-An","Municipality"
121.953120192805,11.7865799915578,"Antique-Libertad","Municipality"
122.094366409409,11.7442130974178,"Antique-Pandan","Municipality"
122.037011039046,10.9233601777572,"Antique-Patnongon","Municipality"
121.957358816836,10.7711434057499,"Antique-San Jose","Municipality"
122.175750125088,10.9009221403323,"Antique-San Remigio","Municipality"
122.118576493919,11.5908699974656,"Antique-Sebaste","Municipality"
122.074819982634,10.7724078269314,"Antique-Sibalom","Municipality"
122.083979542602,11.3117739207214,"Antique-Tibiao","Municipality"
121.975800945319,10.5198644880045,"Antique-Tobias Fornier","Municipality"
122.205379831223,11.0306318170172,"Antique-Valderrama","Municipality"
121.033560411529,18.2487765675027,"Apayao-Calanasan","Municipality"
121.253534275217,17.7710734308259,"Apayao-Conner","Municipality"
121.414565744167,18.1275000911251,"Apayao-Flora","Municipality"
121.167436461064,18.0026027132349,"Apayao-Kabugao","Municipality"
121.239356028094,18.3320449252139,"Apayao-Luna","Municipality"
121.309147723847,18.1573370516639,"Apayao-Pudtol","Municipality"
121.438256286474,18.291858083747,"Apayao-Santa Marcela","Municipality"
121.571908675759,15.7328880105875,"Aurora-Baler","Municipality"
122.041550482004,16.2576153580963,"Aurora-Casiguran","Municipality"
122.133911663471,16.432945284534,"Aurora-Dilasag","Municipality"
121.859700536148,16.168559918246,"Aurora-Dinalungan","Municipality"
121.379637015019,15.2847744023393,"Aurora-Dingalan","Municipality"
121.612382113684,15.9836230571826,"Aurora-Dipaculao","Municipality"
121.403354025939,15.7767570012368,"Aurora-Maria Aurora","Municipality"
121.45334169478,15.6139774821432,"Aurora-San Luis","Municipality"
122.183154479677,6.64975124543479,"Basilan-Akbar","Municipality"
122.097520398058,6.54411285673796,"Basilan-Al-Barka","Municipality"
122.27179231962,6.6288864763383,"Basilan-Hadji Mohammad Ajul","Municipality"
121.990581958454,6.64604329574879,"Basilan-Isabela City","Municipality"
122.104869382293,6.6468818676304,"Basilan-Lamitan City","Municipality"
121.863835442354,6.62567900376044,"Basilan-Lantawan","Municipality"
121.894627896186,6.53601806014943,"Basilan-Maluso","Municipality"
122.000386225653,6.49515276895375,"Basilan-Sumisip","Municipality"
122.174285254035,6.53191947928952,"Basilan-Tipo-Tipo","Municipality"
122.224701892535,6.61186562670784,"Basilan-Tuburan","Municipality"
122.114205497256,6.46887493757661,"Basilan-Ungkaya Pukan","Municipality"
120.484884296466,14.7179934669948,"Bataan-Abucay","Municipality"
120.425851743478,14.5841316599924,"Bataan-Bagac","Municipality"
120.492863611634,14.6671487870733,"Bataan-Balanga City","Municipality"
120.431922126336,14.8696461102326,"Bataan-Dinalupihan","Municipality"
120.447446010338,14.8132663493599,"Bataan-Hermosa","Municipality"
120.554442839945,14.5387898171401,"Bataan-Limay","Municipality"
120.508769157624,14.4702067502775,"Bataan-Mariveles","Municipality"
120.32275523557,14.7269009410456,"Bataan-Morong","Municipality"
120.477414975247,14.7784406624024,"Bataan-Orani","Municipality"
120.551626707787,14.602945196508,"Bataan-Orion","Municipality"
120.520209584759,14.6303361397206,"Bataan-Pilar","Municipality"
120.482557133087,14.7527967922748,"Bataan-Samal","Municipality"
121.992625177198,20.4584218529298,"Batanes-Basco","Municipality"
121.835796906101,20.7598916011073,"Batanes-Itbayat","Municipality"
121.92678919634,20.3760731303403,"Batanes-Ivana","Municipality"
121.951148906287,20.4107191377153,"Batanes-Mahatao","Municipality"
121.860858328003,20.3089065611304,"Batanes-Sabtang","Municipality"
121.953679563975,20.3747815303643,"Batanes-Uyugan","Municipality"
120.930879754307,13.9673534544468,"Batangas-Agoncillo","Municipality"
121.016350031495,13.868056912004,"Batangas-Alitagtag","Municipality"
120.734374119253,13.9679797510539,"Batangas-Balayan","Municipality"
121.111771942681,14.0129205934745,"Batangas-Balete","Municipality"
121.103795960631,13.7207195015867,"Batangas-Batangas City","Municipality"
120.969889494648,13.80074715648,"Batangas-Bauan","Municipality"
120.823691428321,13.9794801409053,"Batangas-Calaca","Municipality"
120.658586818765,13.863840677402,"Batangas-Calatagan","Municipality"
121.053765680107,13.9095232756543,"Batangas-Cuenca","Municipality"
121.140628069369,13.8182721981734,"Batangas-Ibaan","Municipality"
120.90743319006,14.0522375731035,"Batangas-Laurel","Municipality"
120.886628588608,13.9586341255115,"Batangas-Lemery","Municipality"
120.650304304446,13.9970851920416,"Batangas-Lian","Municipality"
121.174686433478,13.9408657710783,"Batangas-Lipa City","Municipality"
121.261380684112,13.6670466944361,"Batangas-Lobo","Municipality"
120.912978894972,13.7295551767001,"Batangas-Mabini","Municipality"
121.148199026555,14.0337381730847,"Batangas-Malvar","Municipality"
121.101930763051,13.978448926473,"Batangas-Mataas Na Kahoy","Municipality"
120.687157484108,14.1227580173077,"Batangas-Nasugbu","Municipality"
121.241799498074,13.8740018269676,"Batangas-Padre Garcia","Municipality"
121.270797923353,13.8061332394497,"Batangas-Rosario","Municipality"
121.09011322658,13.8778731540487,"Batangas-San Jose","Municipality"
121.390894354827,13.7572742586034,"Batangas-San Juan","Municipality"
120.946422941739,13.8361273527419,"Batangas-San Luis","Municipality"
120.998229994455,13.9995584476503,"Batangas-San Nicolas","Municipality"
121.030375312911,13.8173601210129,"Batangas-San Pascual","Municipality"
120.972140314829,13.8795282619508,"Batangas-Santa Teresita","Municipality"
121.182459831602,14.0763737623079,"Batangas-Santo Tomas","Municipality"
120.938116208299,13.8886290777348,"Batangas-Taal","Municipality"
121.010295948455,13.9977893818937,"Batangas-Taal lake","Municipality"
121.019603024531,14.1090730704515,"Batangas-Talisay","Municipality"
121.097045190347,14.0962553269086,"Batangas-Tanauan City","Municipality"
121.225158535919,13.7563219081589,"Batangas-Taysan","Municipality"
120.892359633404,13.6474641507198,"Batangas-Tingloy","Municipality"
120.740492233882,14.0285864505291,"Batangas-Tuy","Municipality"
120.696708240808,16.5836927333891,"Benguet-Atok","Municipality"
120.594252757127,16.404805875502,"Benguet-Baguio City","Municipality"
120.703010194272,16.8108483251957,"Benguet-Bakun","Municipality"
120.803125645609,16.4685974739213,"Benguet-Bokod","Municipality"
120.841414180568,16.7427113366766,"Benguet-Buguias","Municipality"
120.70594481864,16.3248270664531,"Benguet-Itogon","Municipality"
