"","x"
"4B-22-42",1
"4B-22-41",1
"4B-23-07",1
"4B-23-06",1
"4B-23-12",1
"4B-23-02",1
"Z-22-103",1
"4B-22-39",1
"4B-22-37",1
"4B-22-44",1
"H-23-011Sk_12",2
"4B-23-03",3
"Z-22-121",3
"4B-23-04",3
"4B-23-11",4
"4B-23-05",5
"4B-23-16",5
"4B-23-19",5
"4B-23-17",5
"Z-22-119",5
"4B-23-13",1
"4B-23-15",1
"4B-22-45",1
"4B-23-01",1
