"Sample.ID","X","Region","Province","year","country","assignment","NCBI.accession","Sample.collection.date","Host.species","Municipality","Barangay","Location","source","corrected_date","decimal_date","outbreak","id_case","membership","lineage","lineage_chain","maddog"
"18-151",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326774","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-153",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326773","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-162",NA,"Davao Region","Davao del Norte",2018,"Philippines","SEA4","OQ326744","2018","Canine","Samal",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-163",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326747","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-164",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326738","2018","Canine","Digos",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-172",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326737","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-174",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326743","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-179",NA,"Davao Region","Cotabato",2018,"Philippines","SEA4","OQ326775","2018","Canine","Cotabato",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-181",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326783","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-183",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326777","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-188",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326746","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-191",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326768","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-194",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326780","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-196",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326779","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-199",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326736","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-209",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326781","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-214",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326745","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-216",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326742","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
