Sample.ID,,Region,Province,year,country,assignment,NCBI.accession,Sample.collection.date,Host.species,Municipality,Barangay,Location,source,corrected_date,decimal_date,outbreak
18-174,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326743,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-179,,Davao Region,Cotabato,2018,Philippines,SEA4,OQ326775,2018,Canine,Cotabato,NA,NA,genbank,01/01/2018,2018,Other
18-181,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326783,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-183,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326777,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-188,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326746,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-191,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326768,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-194,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326780,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-196,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326779,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-199,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326736,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-209,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326781,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-214,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326745,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-216,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326742,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-221,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326782,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-223,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326778,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-224,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326769,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
18-225,,Davao Region,Davao del Sur,2018,Philippines,SEA4,OQ326771,2018,Canine,Davao,NA,NA,genbank,01/01/2018,2018,Other
19-004,,Davao Region,Davao del Sur,2019,Philippines,SEA4,OQ326740,2019,Canine,Davao,NA,NA,genbank,01/01/2019,2019,Other
19-011,,Davao Region,Davao del Sur,2019,Philippines,SEA4,OQ326741,2019,Canine,Davao,NA,NA,genbank,01/01/2019,2019,Other
19-015,,Davao Region,Davao del Sur,2019,Philippines,SEA4,OQ326739,2019,Canine,Davao,NA,NA,genbank,01/01/2019,2019,Other
19-022,,Davao Region,Davao del Sur,2019,Philippines,SEA4,OQ326770,2019,Canine,Davao,NA,NA,genbank,01/01/2019,2019,Other
19-045,,Davao Region,Davao del Sur,2019,Philippines,SEA4,OQ326763,2019,Canine,Davao,NA,NA,genbank,01/01/2019,2019,Other
19-050,,Davao Region,Davao del Norte,2019,Philippines,SEA4,OQ326765,2019,Canine,Panabo,NA,NA,genbank,01/01/2019,2019,Other
94272PHI,,NA,,1994,Philippines,SEA4,KX148259,1994,Canis familiaris,NA,NA,-,rabv-glue,01/01/1994,1994,Other
94273PHI,,NA,,1994,Philippines,SEA4,EU086201,1994,Canis familiaris,NA,NA,-,rabv-glue,01/01/1994,1994,Other
94275PHI,,NA,,1994,Philippines,SEA4,KX148263,1994,Canis familiaris,NA,NA,-,rabv-glue,01/01/1994,1994,Other
94278PHI,,NA,,1994,Philippines,SEA4,KX148262,1994,Canis familiaris,NA,NA,-,rabv-glue,01/01/1994,1994,Other
94280PHI,,NA,,1994,Philippines,SEA4,EU086202,1994,Canis familiaris,NA,NA,-,rabv-glue,01/01/1994,1994,Other
94281PHI,,NA,,1994,Philippines,SEA4,KX148261,1994,Canis familiaris,NA,NA,-,rabv-glue,01/01/1994,1994,Other
A12_1952,,NA,,2009,Philippines,SEA4,KC792091,2009,Canis familiaris,NA,NA,-,rabv-glue,01/01/2009,2009,Other
A12_1959,,NA,,2009,Philippines,SEA4,KC792092,2009,Canis familiaris,NA,NA,-,rabv-glue,01/01/2009,2009,Other
A12_1964,,NA,,2009,Philippines,SEA4,KC792093,2009,Canis familiaris,NA,NA,-,rabv-glue,01/01/2009,2009,Other
A12_1969,,NA,,2009,Philippines,SEA4,KC792094,2009,Canis familiaris,NA,NA,-,rabv-glue,01/01/2009,2009,Other
A12_1973,,NA,,2009,Philippines,SEA4,KC792095,2009,Canis familiaris,NA,NA,-,rabv-glue,01/01/2009,2009,Other
A12_1977,,NA,,2009,Philippines,SEA4,KC792096,2009,Canis familiaris,NA,NA,-,rabv-glue,01/01/2009,2009,Other
A12_1978,,NA,,2009,Philippines,SEA4,KC792097,2009,Canis familiaris,NA,NA,-,rabv-glue,01/01/2009,2009,Other
BAI/BAI3/2019-01/fel,,National Capital Region,Bulacan,2019,Philippines,SEA4,MN857171,2019,feline,NA,NA,"San Miguel, Bulacan",rabv-glue,01/01/2019,2019,Other
BAI/BAI4A/2019-01/can,,Calabarzon,Rizal,2019,Philippines,SEA4,MN857170,2019,Canis familiaris,NA,NA,"Angono, Rizal",rabv-glue,01/01/2019,2019,Other
BAI/BAINCR/2019-01/can,,National Capital Region,Metropolitan Manila,2019,Philippines,SEA4,MN857167,2019,Canis familiaris,NA,NA,Caloocan City,rabv-glue,01/01/2019,2019,Other
BAI/BAINCR/2019-02/can,,National Capital Region,Metropolitan Manila,2019,Philippines,SEA4,MN857168,2019,Canis familiaris,NA,NA,Quezon City,rabv-glue,01/01/2019,2019,Other
BAI/BAINCR/2019-03/can,,National Capital Region,Metropolitan Manila,2019,Philippines,SEA4,MN857169,2019,Canis familiaris,NA,NA,Pasay City,rabv-glue,01/01/2019,2019,Other
PHI103,,Northern Mindanao,,2001,Philippines,SEA4,AB116577,2001,12153119,NA,NA,Mindanao Island,rabv-glue,01/01/2001,2001,Other
PHI114,,Northern Mindanao,,2001,Philippines,SEA4,AB116578,2001,12153119,NA,NA,Mindanao Island,rabv-glue,01/01/2001,2001,Other
Philippin_dog,,NA,,2013,Philippines,SEA4,KC792240,2013,Canis familiaris,NA,NA,-,rabv-glue,01/01/2013,2013,Other
RADDL1-16-154,,Ilocos Region ,Pangasinan,2016,Philippines,SEA4,MN726857,2016,Canis lupus familiaris,NA,NA,-,rabv-glue,01/01/2016,2016,Other
RADDL3-1038,,Central Luzon,Pampanga,2015,Philippines,SEA4,MN726850,2015,Canis lupus familiaris,NA,NA,-,rabv-glue,01/01/2015,2015,Other
REGION_5_2018-100,,Bicol Region,Albay,2018,Philippines,SEA4,MN726860,2018,Canis lupus familiaris,NA,NA,-,rabv-glue,01/01/2018,2018,Other
REGION_5_2018-304,,Bicol Region,Albay,2018,Philippines,SEA4,MN726876,2018,Canis lupus familiaris,NA,NA,-,rabv-glue,01/01/2018,2018,Other
REGION_5_2018-311,,Bicol Region,Albay,2018,Philippines,SEA4,MN726875,2018,Canis lupus familiaris,NA,NA,-,rabv-glue,01/01/2018,2018,Other
REGION_5_2018-50,,Bicol Region,Albay,2018,Philippines,SEA4,MN726852,2018,Canis lupus familiaris,NA,NA,-,rabv-glue,01/01/2018,2018,Other
REGION_5_2019-1,,Bicol Region,Albay,2019,Philippines,SEA4,MN726880,2019,Canis lupus familiaris,NA,NA,-,rabv-glue,01/01/2019,2019,Other
REGION_5_2019-13,,Bicol Region,Albay,2019,Philippines,SEA4,MN726842,2019,Canis lupus familiaris,NA,NA,-,rabv-glue,01/01/2019,2019,Other
RV/CAR.PHL/2009/TRa-198,,Cordillera Administrative Region,Mountain Province,2009,Philippines,SEA4,AB563973,2009,Canis lupus familiaris,NA,NA,"CAR, Mountain Province",rabv-glue,01/01/2009,2009,Other
RV/CAR.PHL/2009/TRa-199,,Cordillera Administrative Region,Mountain Province,2009,Philippines,SEA4,AB563974,2009,Canis lupus familiaris,NA,NA,"CAR, Mountain Province",rabv-glue,01/01/2009,2009,Other
RV/CAR.PHL/2009/TRa-200,,Cordillera Administrative Region,Mountain Province,2009,Philippines,SEA4,AB563975,2009,Canis lupus familiaris,NA,NA,"CAR, Mountain Province",rabv-glue,01/01/2009,2009,Other
RV/CAR.PHL/2009/TRa-222,,Cordillera Administrative Region,Mountain Province,2009,Philippines,SEA4,AB563992,2009,Canis lupus familiaris,NA,NA,"CAR, Mountain Province",rabv-glue,01/01/2009,2009,Other
RV/CAR.PHL/2009/TRa-224,,Cordillera Administrative Region,Ifugao,2009,Philippines,SEA4,AB563993,2009,Canis lupus familiaris,NA,NA,"CAR, ifugao",rabv-glue,01/01/2009,2009,Other
RV/CAR.PHL/2009/TRa-234,,Cordillera Administrative Region,,2009,Philippines,SEA4,AB564000,2009,-,NA,NA,Bontoc,rabv-glue,01/01/2009,2009,Other
RV/CAR.PHL/2009/TRa-285,,Cordillera Administrative Region,Mountain Province,2009,Philippines,SEA4,AB733961,2009,Canis lupus familiaris,NA,NA,"CAR, Mountain Province",rabv-glue,01/01/2009,2009,Other
RV/CAR.PHL/2010/TRa-289,,Cordillera Administrative Region,Ifugao,2010,Philippines,SEA4,AB733962,2010,Canis lupus familiaris,NA,NA,"CAR, Ifgao",rabv-glue,01/01/2010,2010,Other
RV/CAR.PHL/2010/TRa-291,,Cordillera Administrative Region,Kalinga,2010,Philippines,SEA4,AB771910,2010,Canis lupus familiaris,NA,NA,"CAR, Kalinga Apayao",rabv-glue,01/01/2010,2010,Other
RV/CAR.PHL/2013/TRa-370,,Cordillera Administrative Region,Kalinga,2013,Philippines,SEA4,LC018525,2013,Canis lupus familiaris,NA,NA,"CAR, Kalinga Apayao",rabv-glue,01/01/2013,2013,Other
RV/CAR.PHL/2013/TRa-405,,Cordillera Administrative Region,Ifugao,2013,Philippines,SEA4,LC018545,2013,Canis lupus familiaris,NA,NA,"CAR, Ifugao",rabv-glue,01/01/2013,2013,Other
RV/CAR.PHL/2013/TRa-407,,Cordillera Administrative Region,Ifugao,2013,Philippines,SEA4,LC018547,2013,Canis lupus familiaris,NA,NA,"CAR, Ifugao",rabv-glue,01/01/2013,2013,Other
RV/CAR.PHL/2013/TRa-409,,Cordillera Administrative Region,Benguet,2013,Philippines,SEA4,LC018548,2013,Canis lupus familiaris,NA,NA,"CAR, Benguet",rabv-glue,01/01/2013,2013,Other
RV/CAR.PHL/2013/TRa-500,,Cordillera Administrative Region,Mountain Province,2013,Philippines,SEA4,LC018586,2013,Canis lupus familiaris,NA,NA,"CAR, Mountain Province",rabv-glue,01/01/2013,2013,Other
RV/CAR.PHL/2013/TRa-510,,Cordillera Administrative Region,Ifugao,2013,Philippines,SEA4,LC068918,2013,Canis lupus familiaris,NA,NA,"Cordillera Administrative Region (CAR), Ifugao",rabv-glue,01/01/2013,2013,Other
RV/CAR.PHL/2013/TRa-571,,Cordillera Administrative Region,Mountain Province,2013,Philippines,SEA4,LC068941,2013,Canis lupus familiaris,NA,NA,"Cordillera Administrative Region (CAR), Mountain Province",rabv-glue,01/01/2013,2013,Other
RV/NCR.PHL/2004/Z-04-421,,National Capital Region,Metropolitan Manila,2004,Philippines,SEA4,AB563796,2004,Canis lupus familiaris,NA,NA,"NCR, Metro Manila",rabv-glue,01/01/2004,2004,Other
RV/NCR.PHL/2004/Z-04-522,,National Capital Region,Metropolitan Manila,2004,Philippines,SEA4,AB683584,2004,Canis lupus familiaris,NA,NA,"NCR, Metro Manila",rabv-glue,01/01/2004,2004,Other
