Sample.ID,Region,Province
RV/R4A.PHL/2004/Z-04-480,Calabarzon,Laguna
RV/R4A.PHL/2005/Z-05-012,Calabarzon,Laguna
RV/R4A.PHL/2005/Z-05-017,Calabarzon,Cavite
RV/R4A.PHL/2005/Z-05-123,Calabarzon,Laguna
RV/R4A.PHL/2006/Z-06-039,Calabarzon,Batangas
RV/R4A.PHL/2006/Z-06-163,Calabarzon,Laguna
RV/R4A.PHL/2006/Z-06-197,Calabarzon,Batangas
RV/R4A.PHL/2006/Z-06-222,Calabarzon,Cavite
RV/R4A.PHL/2006/Z-06-231,Calabarzon,Cavite
RV/R4A.PHL/2006/Z-06-342,Calabarzon,Laguna
RV/R4A.PHL/2006/Z-06-345,Calabarzon,Batangas
RV/R4A.PHL/2006/Z-06-348,Calabarzon,Cavite
RV/R4A.PHL/2006/Z-06-357,Calabarzon,Batangas
RV/R4A.PHL/2006/Z-06-361,Calabarzon,Laguna
RV/R4A.PHL/2006/Z-06-362,Calabarzon,Batangas
RV/R4A.PHL/2006/Z-06-365,Calabarzon,Cavite
RV/R4A.PHL/2007/Z-07-189,Calabarzon,Cavite
RV/R4A.PHL/2007/Z-07-243,Calabarzon,Cavite
RV/R4A.PHL/2007/Z-07-252,Calabarzon,Quezon
RV/R4A.PHL/2007/Z-07-307,Calabarzon,Cavite
RV/R4A.PHL/2007/Z-07-317,Calabarzon,Cavite
RV/R4A.PHL/2007/Z-07-330,Calabarzon,Cavite
RV/R4A.PHL/2011/TRa-393,Calabarzon,Laguna
RV/R4A.PHL/2012/TRa-398,Calabarzon,Quezon
RV/R4A.PHL/2012/TRa-401,Calabarzon,Batangas
RV/R4A.PHL/2012/TRa-404,Calabarzon,Batangas
RV/R4A.PHL/2013/TRa-485,Bicol Region,Batangas
RV/R4B.PHL/2006/Z-06-197,Calabarzon,Batangas
RV/R4B.PHL/2006/Z-06-203,Southwestern Tagalog Region,Oriental Mindoro
RV/R4B.PHL/2006/Z-06-408,Southwestern Tagalog Region,Oriental Mindoro
RV/R4B.PHL/2011/TRa-392,Southwestern Tagalog Region,Romblon
RV/R4B.PHL/2011/TRa-394,Southwestern Tagalog Region,Romblon
RV/R4B.PHL/2011/TRa-396,Southwestern Tagalog Region,Romblon
RV/R4B.PHL/2012/TRa-397,Southwestern Tagalog Region,Romblon
RV/R4B.PHL/2012/TRa-400,Southwestern Tagalog Region,Romblon
RV/R4B.PHL/2012/TRa-402,Southwestern Tagalog Region,Romblon
RV/R4B.PHL/2013/TRa-486,Southwestern Tagalog Region,Palawan
RV/R4B.PHL/2013/TRa-487,Southwestern Tagalog Region,Palawan
RV/R5.PHL/2008/TRa-005,Bicol Region,Albay
RV/R5.PHL/2008/TRa-031,Bicol Region,Albay
RV/R5.PHL/2008/TRa-032,Bicol Region,Albay
RV/R5.PHL/2008/TRa-034,Bicol Region,Albay
RV/R5.PHL/2008/TRa-036,Bicol Region,Camarines Sur
RV/R5.PHL/2008/TRa-037,Bicol Region,Camarines Sur
RV/R5.PHL/2008/TRa-067,Bicol Region,Albay
RV/R5.PHL/2008/TRa-071,Bicol Region,Camarines Sur
RV/R5.PHL/2008/TRa-072,Bicol Region,Albay
RV/R5.PHL/2008/TRa-073,Bicol Region,Sorsogon
RV/R5.PHL/2008/TRa-120,Bicol Region,Catanduanes
RV/R5.PHL/2008/TRa-121,Bicol Region,Camarines Sur
RV/R5.PHL/2008/TRa-122,Bicol Region,Albay
RV/R5.PHL/2008/TRa-123,Bicol Region,Catanduanes
RV/R5.PHL/2009/TRa-183,Bicol Region,Albay
RV/R5.PHL/2009/TRa-225,Bicol Region,Albay
RV/R5.PHL/2009/TRa-226,Bicol Region,Albay
RV/R5.PHL/2009/TRa-227,Bicol Region,Albay
RV/R5.PHL/2009/TRa-229,Bicol Region,Catanduanes
RV/R5.PHL/2009/TRa-231,Bicol Region,Camarines Norte
RV/R5.PHL/2009/TRa-268,Bicol Region,Sorsogon
RV/R5.PHL/2009/TRa-269,Bicol Region,Catanduanes
RV/R5.PHL/2009/TRa-271,Bicol Region,Camarines Norte
RV/R5.PHL/2009/TRa-272,Bicol Region,Albay
RV/R5.PHL/2009/TRa-273,Bicol Region,Albay
RV/R5.PHL/2012/TRa-337,Bicol Region,Camarines Sur
RV/R5.PHL/2012/TRa-338,Bicol Region,Catanduanes
RV/R5.PHL/2012/TRa-339,Bicol Region,Albay
RV/R5.PHL/2012/TRa-340,Bicol Region,Camarines Norte
RV/R5.PHL/2012/TRa-343,Bicol Region,Camarines Norte
RV/R5.PHL/2012/TRa-344,Bicol Region,Camarines Sur
RV/R5.PHL/2012/TRa-355,Bicol Region,Albay
RV/R5.PHL/2012/TRa-356,Bicol Region,Albay
RV/R5.PHL/2012/TRa-357,Bicol Region,Sorsogon
RV/R5.PHL/2012/TRa-358,Bicol Region,Camarines Norte
RV/R5.PHL/2012/TRa-360,Bicol Region,Albay
RV/R5.PHL/2012/TRa-362,Bicol Region,Albay
RV/R5.PHL/2013/TRa-364,Bicol Region,Albay
RV/R5.PHL/2013/TRa-365,Bicol Region,Albay
RV/R5.PHL/2013/TRa-421,Bicol Region,Albay
RV/R5.PHL/2013/TRa-422,Bicol Region,Albay
RV/R5.PHL/2013/TRa-425,Bicol Region,Camarines Sur
RV/R5.PHL/2013/TRa-426,Bicol Region,Camarines Sur
RV/R5.PHL/2013/TRa-427,Bicol Region,Albay
RV/R5.PHL/2013/TRa-429,Bicol Region,Albay
RV/R7.PHL/2008/TRa-074,Central Visayas,Cebu
RV/R7.PHL/2008/TRa-075,Central Visayas,Cebu
RV/R7.PHL/2008/TRa-076,Central Visayas,Cebu
RV/R7.PHL/2008/TRa-077,Central Visayas,Cebu
RV/R7.PHL/2008/TRa-078,Central Visayas,Cebu
RV/R7.PHL/2008/TRa-079,Central Visayas,Cebu
RV/R7.PHL/2008/TRa-080,Central Visayas,Cebu
RV/R7.PHL/2008/TRa-081,Central Visayas,Cebu
RV/R7.PHL/2008/TRa-082,Central Visayas,Cebu
RV/R7.PHL/2008/TRa-083,Central Visayas,Negros Oriental
RV/R7.PHL/2008/TRa-084,Central Visayas,Negros Oriental
RV/R7.PHL/2008/TRa-085,Central Visayas,
RV/R7.PHL/2008/TRa-096,Central Visayas,Cebu
RV/R7.PHL/2008/TRa-097,Central Visayas,Cebu
RV/R7.PHL/2008/TRa-098,Central Visayas,Cebu
RV/R7.PHL/2008/TRa-099,Central Visayas,Cebu
RV/R7.PHL/2008/TRa-100,Central Visayas,Cebu
RV/R7.PHL/2008/TRa-101,Central Visayas,Cebu
RV/R7.PHL/2008/TRa-102,Central Visayas,Cebu
RV/R7.PHL/2008/TRa-103,Central Visayas,Cebu
RV/R7.PHL/2009/TRa-143,Central Visayas,Negros Oriental
RV/R7.PHL/2009/TRa-144,Central Visayas,Negros Oriental
RV/R7.PHL/2009/TRa-145,Central Visayas,Negros Oriental
RV/R7.PHL/2009/TRa-147,Central Visayas,Negros Oriental
RV/R7.PHL/2009/TRa-164,Central Visayas,Negros Oriental
RV/R7.PHL/2009/TRa-165,Central Visayas,Negros Oriental
RV/R7.PHL/2009/TRa-166,Central Visayas,Cebu
RV/R7.PHL/2009/TRa-167,Central Visayas,Cebu
RV/R7.PHL/2009/TRa-168,Central Visayas,Cebu
RV/R7.PHL/2009/TRa-170,Central Visayas,Cebu
RV/R7.PHL/2009/TRa-172,Central Visayas,Cebu
RV/R7.PHL/2009/TRa-173,Central Visayas,Cebu
RV/R7.PHL/2009/TRa-176,Central Visayas,Cebu
RV/R7.PHL/2009/TRa-177,Central Visayas,Cebu
RV/R7.PHL/2009/TRa-178,Central Visayas,Cebu
RV/R7.PHL/2009/TRa-179,Central Visayas,Cebu
RV/R7.PHL/2009/TRa-235,Central Visayas,Negros Oriental
RV/R7.PHL/2009/TRa-236,Central Visayas,Negros Oriental
RV/R7.PHL/2009/TRa-237,Central Visayas,Negros Oriental
RV/R7.PHL/2009/TRa-238,Central Visayas,Negros Oriental
RV/R7.PHL/2009/TRa-239,Central Visayas,Negros Oriental
RV/R7.PHL/2009/TRa-240,Central Visayas,Negros Oriental
RV/R7.PHL/2009/TRa-241,Central Visayas,Negros Oriental
V1371PHIL,NA,
V1372PHIL,NA,
V1373PHIL,NA,
V1374PHIL,NA,
V1375PHIL,NA,
Z-04-664,National Capital Region,Metropolitan Manila
Z-05-102,National Capital Region,Metropolitan Manila
Z-05-191,National Capital Region,Metropolitan Manila
Z-05-557,National Capital Region,Metropolitan Manila
Z-05-96,National Capital Region,Metropolitan Manila
Z-06-150,Calabarzon,Batangas
Z-06-295,Calabarzon,Batangas
Z-06-39,Calabarzon,Batangas
Z-07-07,Calabarzon,Cavite
Z-07-22,Calabarzon,Cavite
Z-07-222,Calabarzon,Cavite
Z-07-351,National Capital Region,Metropolitan Manila
Z-07-366,Calabarzon,Batangas
Z-07-38,Calabarzon,Cavite
Z-07-387,Calabarzon,Quezon
Z-07-398,Calabarzon,Laguna
Z-07-403,Calabarzon,Quezon
Z-07-407,National Capital Region,Metropolitan Manila
Z-08-351,Calabarzon,Cavite
Z-08-359,Calabarzon,Laguna
Z-09-94,National Capital Region,Metropolitan Manila
Z-12-001,Calabarzon,Laguna
Z-12-012,Calabarzon,Batangas
Z-12-029,National Capital Region,Metropolitan Manila
Z-12-034,Calabarzon,Laguna
Z-12-060,Calabarzon,Cavite
Z-12-088,National Capital Region,Metropolitan Manila
Z-12-118,Calabarzon,Cavite
Z-12-134,Calabarzon,Cavite
Z-12-149,Southwestern Tagalog Region,Oriental Mindoro
Z-12-208,National Capital Region,Metropolitan Manila
Z-12-212,Calabarzon,Batangas
Z-13-002,National Capital Region,Metropolitan Manila
Z-13-009,Calabarzon,Cavite
Z-13-020,National Capital Region,Metropolitan Manila
Z-13-032,National Capital Region,Metropolitan Manila
Z-13-036,National Capital Region,Metropolitan Manila
Z-13-037,Calabarzon,Laguna
Z-13-065,Calabarzon,Batangas
Z-13-066,Calabarzon,Cavite
Z-13-071,National Capital Region,Metropolitan Manila
Z-13-073,National Capital Region,Metropolitan Manila
Z-13-081,Calabarzon,Laguna
Z-13-086,Calabarzon,Rizal
Z-13-089,Calabarzon,Cavite
Z-13-094,Calabarzon,Cavite
Z-13-096,National Capital Region,Metropolitan Manila
Z-13-098,National Capital Region,Metropolitan Manila
Z-13-134,National Capital Region,Metropolitan Manila
Z-13-135,Calabarzon,Cavite
Z-13-161,Calabarzon,Laguna
Z-13-171,Calabarzon,Batangas
Z-13-184,Calabarzon,Batangas
Z-13-204,Calabarzon,Laguna
Z-13-216,Southwestern Tagalog Region,Occidental Mindoro
Z-13-234,Calabarzon,Laguna
Z-13-259,Calabarzon,Cavite
Z-14-023,Calabarzon,Laguna
Z-14-033,Calabarzon,Quezon
Z-14-05,Calabarzon,Cavite
Z-14-058,Calabarzon,Rizal
Z-14-098,Calabarzon,Batangas
Z-14-101,National Capital Region,Metropolitan Manila
Z-14-106,Calabarzon,Cavite
Z-14-126,National Capital Region,Metropolitan Manila
Z-14-136,Calabarzon,Cavite
Z-14-138,National Capital Region,Metropolitan Manila 
Z-14-142,Calabarzon,Laguna
Z-14-146,Calabarzon,Batangas
Z-14-149,Calabarzon,Laguna
Z-14-182,Central Luzon,Bulacan
Z-14-243,Calabarzon,Laguna
Z-15-001,Calabarzon,Rizal
Z-15-009,National Capital Region,Metropolitan Manila
Z-15-019,National Capital Region,Metropolitan Manila
Z-15-116,Calabarzon,Laguna
Z-15-119,National Capital Region,Metropolitan Manila
Z-15-130,Calabarzon,Cavite
Z-15-148,National Capital Region,Metropolitan Manila
Z-15-163,Calabarzon,Cavite
Z-16-013,Calabarzon,Laguna
Z-16-082,Calabarzon,Laguna
Z-16-150,National Capital Region,Metropolitan Manila
Z-16-151,Calabarzon,Cavite
Z-16-159,Calabarzon,Cavite
Z-16-186,Calabarzon,Rizal
Z-16-196,Calabarzon,Cavite
Z-16-209,Calabarzon,Quezon
Z-16-210,National Capital Region,Metropolitan Manila
Z-16-211,Calabarzon,Laguna
Z-17-046,Calabarzon,Batangas
Z-17-174,National Capital Region,Metropolitan Manila
Z-17-177,Calabarzon,Cavite
Z-17-193,Calabarzon,Quezon
Z-17-200,Calabarzon,Laguna
Z-17-217,Calabarzon,Cavite
Z-17-221,Calabarzon,Cavite
Z-17-57,Southwestern Tagalog Region,Occidental Mindoro
Z-18-001,Calabarzon,Cavite
Z-18-114,Calabarzon,Batangas
Z-18-159,Central Luzon,Bulacan
Z-18-224,National Capital Region,Metropolitan Manila
Z-18-251,Calabarzon,Laguna
Z-19-029,Calabarzon,Batangas
Z-19-123,Calabarzon,Cavite
Z-19-136,Calabarzon,Laguna
Z-19-88,Calabarzon,Rizal
Z-20-01,Calabarzon,Cavite
Z-20-110,Calabarzon,Laguna
Z-20-24,National Capital Region,Metropolitan Manila
Z-20-33,National Capital Region,Metropolitan Manila
Z-20-51,Calabarzon,Rizal
Z-22-103,Southwestern Tagalog Region,Romblon
Z-22-119,Southwestern Tagalog Region ,Romblon
Z-22-121,Southwestern Tagalog Region,Romblon
Z-23-01,Calabarzon,Laguna
Z-23-01Sa,Calabarzon,Laguna
Z-98-1061,Calabarzon,Cavite
Z-98-134,Calabarzon,Cavite
Z-98-206,Calabarzon,Laguna
Z-98-285,Calabarzon,Laguna
Z-98-286,Calabarzon,Quezon
Z-98-335,Calabarzon,Laguna
Z-98-433,Calabarzon,Cavite
Z-98-454,National Capital Region,Metropolitan Manila
Z-98-515,National Capital Region,Metropolitan Manila
Z-98-616,Central Luzon,Bulacan
Z-98-667,Calabarzon,Laguna
Z-98-712,Calabarzon,Laguna
Z-98-718,Calabarzon,Batangas
Z-98-780,Calabarzon,Laguna
Z-98-823,Calabarzon,Cavite
Z-98-838,National Capital Region,Metropolitan Manila
Z-98-860,Calabarzon,Quezon
Z12-012,,
Z14-142,,
Z14-152,National Capital Region,Metropolitan Manila
Z15-185,National Capital Region,Metropolitan Manila
