Sample.ID,Region,Province
R5-21-128,Bicol Region,Camarines Sur
R5-21-132,Bicol Region,Albay
R5-21-136,Bicol Region,Albay
R5-21-140,Bicol Region,Camarines Norte
R5-22-008,Bicol Region,Albay
R6-21-4375,Western Visayas,Iloilo
R6-21-4511,Western Visayas,Antique
R6-21-4600,Western Visayas,Iloilo
R6-4342,Western Visayas,Iloilo
R6-4568,Western Visayas,Guimaras
R7-21-161,Central Visayas,Cebu
R9-010,Zamboanga Peninsula,Zamboanga Del Sur
R9-074,Zamboanga Peninsula,Zamboanga Del Sur
R9-089,Zamboanga Peninsula,Zamboanga Sibugay
R9-105,Zamboanga Peninsula,Zamboanga Del Norte
RADDL1-16-153,Ilocos Region ,Pangasinan
RADDL1-16-154,Ilocos Region ,Pangasinan
RADDL1-16-166,Ilocos Region ,Pangasinan
RADDL3-1038,Central Luzon,Pampanga
RADDL3-1045,Central Luzon,Bataan
RADDL3-15-172,Central Luzon,Nueva Ecija
RADDL3-16-1008,Central Luzon,Nueva Ecija
RADDL3-16-468,Central Luzon,Pampanga
RADDL3-16-521,Central Luzon,Bulacan
RADDL3-16-627,Central Luzon,Bulacan
RADDL3-845,Central Luzon,Pampanga
RADDL5-005,Bicol Region,Camarines Sur
REGION_5_2018-100,Bicol Region,Albay
REGION_5_2018-304,Bicol Region,Albay
REGION_5_2018-311,Bicol Region,Albay
REGION_5_2018-50,Bicol Region,Albay
REGION_5_2019-1,Bicol Region,Albay
REGION_5_2019-13,Bicol Region,Albay
RV/CAR.PHL/2009/TRa-198,Cordillera Administrative Region,Mountain Province
RV/CAR.PHL/2009/TRa-199,Cordillera Administrative Region,Mountain Province
RV/CAR.PHL/2009/TRa-200,Cordillera Administrative Region,Mountain Province
RV/CAR.PHL/2009/TRa-222,Cordillera Administrative Region,Mountain Province
RV/CAR.PHL/2009/TRa-224,Cordillera Administrative Region,Ifugao
RV/CAR.PHL/2009/TRa-234,Cordillera Administrative Region,
RV/CAR.PHL/2009/TRa-285,Cordillera Administrative Region,Mountain Province
RV/CAR.PHL/2010/TRa-289,Cordillera Administrative Region,Ifugao
RV/CAR.PHL/2010/TRa-291,Cordillera Administrative Region,Kalinga
RV/CAR.PHL/2013/TRa-370,Cordillera Administrative Region,Kalinga
RV/CAR.PHL/2013/TRa-405,Cordillera Administrative Region,Ifugao
RV/CAR.PHL/2013/TRa-407,Cordillera Administrative Region,Ifugao
RV/CAR.PHL/2013/TRa-409,Cordillera Administrative Region,Benguet
RV/CAR.PHL/2013/TRa-500,Cordillera Administrative Region,Mountain Province
RV/CAR.PHL/2013/TRa-510,Cordillera Administrative Region,Ifugao
RV/CAR.PHL/2013/TRa-571,Cordillera Administrative Region,Mountain Province
RV/NCR.PHL/2004/Z-04-421,National Capital Region,Metropolitan Manila
RV/NCR.PHL/2004/Z-04-522,National Capital Region,Metropolitan Manila
RV/NCR.PHL/2004/Z-04-534,National Capital Region,Metropolitan Manila
RV/NCR.PHL/2004/Z-04-646,National Capital Region,Metropolitan Manila
RV/NCR.PHL/2005/Z-05-009,National Capital Region,Metropolitan Manila
RV/NCR.PHL/2005/Z-05-090,National Capital Region,Metropolitan Manila
RV/NCR.PHL/2005/Z-05-149,National Capital Region,Metropolitan Manila
RV/NCR.PHL/2005/Z-05-168,National Capital Region,Metropolitan Manila
RV/NCR.PHL/2005/Z-05-187,National Capital Region,Metropolitan Manila
RV/NCR.PHL/2005/Z-05-285,National Capital Region,Metropolitan Manila
RV/NCR.PHL/2005/Z-05-299,National Capital Region,Metropolitan Manila
RV/NCR.PHL/2005/Z-05-373,National Capital Region,Metropolitan Manila
RV/NCR.PHL/2005/Z-05-396,National Capital Region,Metropolitan Manila
RV/NCR.PHL/2005/Z-05-424,National Capital Region,Metropolitan Manila
RV/NCR.PHL/2005/Z-05-465,National Capital Region,Metropolitan Manila
RV/NCR.PHL/2005/Z-05-466,National Capital Region,Metropolitan Manila
RV/R1.PHL/2008/TRa-094,Ilocos Region,Pangasinan
RV/R1.PHL/2009/TRa-150,Ilocos Region,Pangasinan
RV/R1.PHL/2009/TRa-151,Ilocos Region,Pangasinan
RV/R1.PHL/2009/TRa-153,Ilocos Region,Pangasinan
RV/R1.PHL/2009/TRa-154,Ilocos Region,Pangasinan
RV/R1.PHL/2009/TRa-156,Ilocos Region,Pangasinan
RV/R1.PHL/2009/TRa-157,Ilocos Region,Pangasinan
RV/R1.PHL/2009/TRa-159,Ilocos Region,Pangasinan
RV/R1.PHL/2009/TRa-161,Ilocos Region,Pangasinan
RV/R1.PHL/2009/TRa-208,Ilocos Region,Pangasinan
RV/R1.PHL/2009/TRa-209,Ilocos Region,Pangasinan
RV/R1.PHL/2009/TRa-210,Ilocos Region,Pangasinan
RV/R1.PHL/2009/TRa-213,Ilocos Region,Pangasinan
RV/R1.PHL/2009/TRa-214,Ilocos Region,Pangasinan
